;Bank;;Navn;Rente
294;Hegra Sparebank;;Høyrente med 31 dagers binding;0,10
295;BN Bank ASA;;Sparekonto Pluss;0,10
296;Hemne Sparebank;;Smart-konto;0,10
297;Hemne Sparebank;;Gull-konto;0,10
298;Oppdalsbanken;;Særvilkårskonto;0,10
299;Kvinesdal Sparebank;;Plasseringskonto;0,10
300;SpareBank 1 Sørøst-Norge;;Plasseringskonto+;0,10
301;Stadsbygd Sparebank;;Sparekonto Oppsigelse;0,10
302;Hemne Sparebank;;Skattetrekkskonto;0,05
303;Etnedal Sparebank;;Sparekonto;0,05
304;Voss Sparebank;;Sparekonto;0,05
305;Evje og Hornnes Sparebank;;BSUpluss etter 34 år;0,05
306;Lillesands Sparebank;;Kapitalkonto;0,05
307;Ørland Sparebank;;ØrlandSpar;0,05
308;Gildeskål Sparebank;;Sparekonto;0,05
309;Sparebanken Møre;;Møre Verdi Plasseringskonto;0,05
310;Voss Sparebank;;Kapitalkonto;0,05
311;SpareBank 1 Gudbrandsdal;;Skattetrekkskonto;0,00
312;Pareto Bank ASA;;Paretokonto privat;0,00
313;Handelsbanken NUF;;Aksjehandelskonto;0,00
314;Sparebanken Møre;;Ordinær Plasseringskonto;0,00
315;Maritime & Merchant Bank ASA;;Sparekonto;0,00
316;Trøgstad Sparebank;;BSU Pluss over 34 år;0,00
317;Topprente.no (Sparebanken Øst);;Topprente+;0,00
318;SpareBank 1 SMN;;Plasseringskonto pluss;0,00
319;Nordic Corporate Bank ASA;;Plasseringskonto;0,00
320;Skue Sparebank;;Skue sparekonto;0,00
321;Østre Agder Sparebank;;Skattetrekkskonto;0,00
322;SpareBank 1 Hallingdal Valdres;;LO Favør Brukskonto;0,00
323;Larvikbanken;;Brukskonto;0,00
324;Sunndal Sparebank;;Skattetrekkskonto;0,00
325;Grue Sparebank;;Skattetrekkskonto;0,00
326;NORDirekte (Skagerrak Sparebank);;NORDirekte 31;0,00
327;Cultura Sparebank;;Miljøkonto;0,00
328;Pareto Bank ASA;;Plasseringskonto privat;0,00
